SOCcode,JobName,JobFamily,isBright,isGreen,JobZone,MedianSalary,JobForecast,ChanceAuto,WageGroup
19-3091.02,Archeologists,"Life, Physical, and Social Science",True,False,5,62410.0,800,-1.0,Anthropologists and Archeologists
17-1011.00,"Architects, Except Landscape and Naval",Architecture and Engineering,True,True,4,79380.0,11800,1.8,
17-3011.00,Architectural and Civil Drafters,Architecture and Engineering,False,False,-1,54920.0,10700,52.0,
11-9041.00,Architectural and Engineering Managers,Management,False,True,5,140760.0,14600,1.7,
17-3011.01,Architectural Drafters,Architecture and Engineering,False,True,4,54920.0,10700,-1.0,Architectural and Civil Drafters
25-1031.00,"Architecture Teachers, Postsecondary","Education, Training, and Library",True,False,5,86980.0,800,-1.0,
25-4011.00,Archivists,"Education, Training, and Library",True,False,5,52240.0,1000,76.0,
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Education, Training, and Library",True,False,5,74440.0,1200,-1.0,
27-1011.00,Art Directors,"Arts, Design, Entertainment, Sports, and Media",False,False,4,92780.0,11100,2.0,
29-1125.01,Art Therapists,Healthcare Practitioners and Technical,True,False,5,47860.0,1100,-1.0,Recreational Therapists
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Education, Training, and Library",True,False,5,69960.0,11100,-1.0,
27-1019.00,"Artists and Related Workers, All Other","Arts, Design, Entertainment, Sports, and Media",False,False,-1,65390.0,1300,-1.0,
51-2099.00,"Assemblers and Fabricators, All Other",Production,False,False,-1,31590.0,137600,-1.0,Miscellaneous Assemblers and Fabricators
13-2021.01,Assessors,Business and Financial Operations,True,False,3,54980.0,6700,-1.0,Appraisers and Assessors of Real Estate
19-2011.00,Astronomers,"Life, Physical, and Social Science",False,False,5,105680.0,200,4.0,
27-2021.00,Athletes and Sports Competitors,"Arts, Design, Entertainment, Sports, and Media",False,False,2,50650.0,2100,28.0,
29-9091.00,Athletic Trainers,Healthcare Practitioners and Technical,True,False,5,47510.0,2500,0.7,
19-2021.00,Atmospheric and Space Scientists,"Life, Physical, and Social Science",True,True,4,94110.0,1100,67.0,
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Education, Training, and Library",False,False,5,90860.0,1200,-1.0,
27-4011.00,Audio and Video Equipment Technicians,"Arts, Design, Entertainment, Sports, and Media",True,False,3,43770.0,11600,55.0,
25-9011.00,Audio-Visual and Multimedia Collections Specialists,"Education, Training, and Library",False,False,4,49600.0,1000,39.0,
29-1181.00,Audiologists,Healthcare Practitioners and Technical,True,False,5,75920.0,800,0.3,
13-2011.02,Auditors,Business and Financial Operations,True,False,4,70500.0,146000,-1.0,Accountants and Auditors
53-6031.00,Automotive and Watercraft Service Attendants,Transportation and Material Moving,False,False,2,24200.0,18000,83.0,
49-3021.00,Automotive Body and Related Repairers,"Installation, Maintenance, and Repair",False,False,2,42730.0,16000,91.0,
17-3027.01,Automotive Engineering Technicians,Architecture and Engineering,False,True,3,56250.0,4300,-1.0,Mechanical Engineering Technicians
17-2141.02,Automotive Engineers,Architecture and Engineering,False,True,4,87370.0,22900,-1.0,Mechanical Engineers
49-3022.00,Automotive Glass Installers and Repairers,"Installation, Maintenance, and Repair",False,False,2,34170.0,2100,55.0,
49-3023.01,Automotive Master Mechanics,"Installation, Maintenance, and Repair",False,False,3,40710.0,74000,-1.0,Automotive Service Technicians and Mechanics
49-3023.00,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",False,False,-1,40710.0,74000,59.0,
49-3023.02,Automotive Specialty Technicians,"Installation, Maintenance, and Repair",False,True,3,40710.0,74000,-1.0,Automotive Service Technicians and Mechanics
53-6051.01,Aviation Inspectors,Transportation and Material Moving,False,False,3,73780.0,3300,-1.0,Transportation Inspectors
49-2091.00,Avionics Technicians,"Installation, Maintenance, and Repair",False,False,3,64140.0,1500,70.0,
39-6011.00,Baggage Porters and Bellhops,Personal Care and Service,False,False,2,24210.0,6600,83.0,
33-3011.00,Bailiffs,Protective Service,False,False,2,45760.0,1700,36.0,
51-3011.00,Bakers,Production,False,False,2,26520.0,28100,89.0,
39-5011.00,Barbers,Personal Care and Service,True,False,3,27960.0,10100,80.0,
35-3022.01,Baristas,Food Preparation and Serving Related,True,False,1,22330.0,107600,-1.0,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
35-3011.00,Bartenders,Food Preparation and Serving Related,True,False,2,22550.0,123100,77.0,
49-3091.00,Bicycle Repairers,"Installation, Maintenance, and Repair",True,False,2,28960.0,1500,94.0,
43-3011.00,Bill and Account Collectors,Office and Administrative Support,False,False,2,36020.0,27700,95.0,
43-3021.00,Billing and Posting Clerks,Office and Administrative Support,True,False,-1,37800.0,60500,96.0,
43-3021.02,"Billing, Cost, and Rate Clerks",Office and Administrative Support,True,False,2,37800.0,60500,-1.0,Billing and Posting Clerks
17-2199.01,Biochemical Engineers,Architecture and Engineering,False,True,4,96980.0,11700,-1.0,"Engineers, All Other"
19-1021.00,Biochemists and Biophysicists,"Life, Physical, and Social Science",False,False,5,93280.0,3100,3.0,
51-8099.01,Biofuels Processing Technicians,Production,False,True,2,57100.0,1400,-1.0,"Plant and System Operators, All Other"
11-3051.03,Biofuels Production Managers,Management,False,True,4,103380.0,13800,-1.0,Industrial Production Managers
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Management,False,True,4,140760.0,14600,-1.0,Architectural and Engineering Managers
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science",False,False,5,79590.0,4700,-1.0,"Biological Scientists, All Other"
43-9111.01,Bioinformatics Technicians,Office and Administrative Support,True,False,4,48330.0,1800,-1.0,Statistical Assistants
25-1042.00,"Biological Science Teachers, Postsecondary","Education, Training, and Library",True,False,5,82550.0,6400,-1.0,
19-1029.00,"Biological Scientists, All Other","Life, Physical, and Social Science",False,False,-1,79590.0,4700,1.5,
19-4021.00,Biological Technicians,"Life, Physical, and Social Science",True,False,4,44500.0,9800,30.0,
19-1020.01,Biologists,"Life, Physical, and Social Science",False,False,5,77550.0,11800,-1.0,Biological Scientists
51-8099.03,Biomass Plant Technicians,Production,False,True,2,57100.0,1400,-1.0,"Plant and System Operators, All Other"
11-3051.04,Biomass Power Plant Managers,Management,False,True,4,103380.0,13800,-1.0,Industrial Production Managers
17-2031.00,Biomedical Engineers,Architecture and Engineering,False,False,4,88550.0,1500,4.0,
15-2041.01,Biostatisticians,Computer and Mathematical,True,False,5,87780.0,5300,-1.0,Statisticians
47-2011.00,Boilermakers,Construction and Extraction,False,True,3,62150.0,1600,68.0,
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,True,False,3,40240.0,188500,98.0,
47-2021.00,Brickmasons and Blockmasons,Construction and Extraction,True,False,2,50950.0,10000,82.0,
53-6011.00,Bridge and Lock Tenders,Transportation and Material Moving,False,False,1,50320.0,400,97.0,
27-3021.00,Broadcast News Analysts,"Arts, Design, Entertainment, Sports, and Media",False,False,4,66880.0,900,7.0,
27-4012.00,Broadcast Technicians,"Arts, Design, Entertainment, Sports, and Media",False,False,3,40080.0,3800,74.0,
43-4011.00,Brokerage Clerks,Office and Administrative Support,False,False,3,51400.0,6200,98.0,
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Management,False,True,4,107480.0,91300,-1.0,"Managers, All Other"
13-2031.00,Budget Analysts,Business and Financial Operations,False,False,4,76220.0,4800,94.0,
37-2019.00,"Building Cleaning Workers, All Other",Building and Grounds Cleaning and Maintenance,True,False,-1,29260.0,2200,-1.0,
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair",False,True,3,47350.0,28400,73.0,
53-3022.00,"Bus Drivers, School or Special Client",Transportation and Material Moving,False,False,2,32420.0,66300,89.0,
53-3021.00,"Bus Drivers, Transit and Intercity",Transportation and Material Moving,False,True,2,42080.0,25000,67.0,
13-1199.04,Business Continuity Planners,Business and Financial Operations,True,False,4,70530.0,119600,-1.0,"Business Operations Specialists, All Other"
15-1199.08,Business Intelligence Analysts,Computer and Mathematical,True,False,4,90270.0,35700,-1.0,"Computer Occupations, All Other"
13-1199.00,"Business Operations Specialists, All Other",Business and Financial Operations,True,False,-1,70530.0,119600,23.0,
25-1011.00,"Business Teachers, Postsecondary","Education, Training, and Library",True,False,5,83960.0,11200,-1.0,
51-3021.00,Butchers and Meat Cutters,Production,False,False,2,31580.0,17400,93.0,
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Business and Financial Operations,False,True,4,62750.0,40200,87.0,Buyers and Purchasing Agents
51-7011.00,Cabinetmakers and Bench Carpenters,Production,False,False,2,34740.0,12000,92.0,
49-9061.00,Camera and Photographic Equipment Repairers,"Installation, Maintenance, and Repair",False,False,3,40620.0,400,97.0,
27-4031.00,"Camera Operators, Television, Video, and Motion Picture","Arts, Design, Entertainment, Sports, and Media",True,False,3,54570.0,3200,60.0,
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Transportation and Material Moving,False,False,-1,69180.0,3600,27.0,
29-2031.00,Cardiovascular Technologists and Technicians,Healthcare Practitioners and Technical,True,False,3,56850.0,3700,23.0,
25-2023.00,"Career/Technical Education Teachers, Middle School","Education, Training, and Library",False,False,4,59230.0,900,26.0,
25-2032.00,"Career/Technical Education Teachers, Secondary School","Education, Training, and Library",False,False,4,60250.0,5600,0.9,
43-5011.00,Cargo and Freight Agents,Office and Administrative Support,True,False,2,43210.0,10100,99.0,
47-2031.00,Carpenters,Construction and Extraction,True,False,-1,46590.0,116300,72.0,
47-2041.00,Carpet Installers,Construction and Extraction,False,False,2,39340.0,3500,87.0,
17-1021.00,Cartographers and Photogrammetrists,Architecture and Engineering,True,False,4,64430.0,1100,88.0,
41-2011.00,Cashiers,Sales and Related,True,False,2,22430.0,661300,97.0,
47-2051.00,Cement Masons and Concrete Finishers,Construction and Extraction,True,True,1,43000.0,23300,94.0,
35-1011.00,Chefs and Head Cooks,Food Preparation and Serving Related,True,False,3,48460.0,20700,10.0,
17-2041.00,Chemical Engineers,Architecture and Engineering,False,True,4,104910.0,2400,1.7,
51-9011.00,Chemical Equipment Operators and Tenders,Production,False,True,2,48770.0,9000,76.0,
51-8091.00,Chemical Plant and System Operators,Production,False,True,2,62060.0,2800,85.0,
19-4031.00,Chemical Technicians,"Life, Physical, and Social Science",False,True,3,48160.0,7200,57.0,
25-1052.00,"Chemistry Teachers, Postsecondary","Education, Training, and Library",False,False,5,79550.0,2400,-1.0,
19-2031.00,Chemists,"Life, Physical, and Social Science",False,True,4,76890.0,8400,10.0,
11-1011.00,Chief Executives,Management,False,False,5,189600.0,16800,1.5,
11-1011.03,Chief Sustainability Officers,Management,False,True,5,189600.0,16800,-1.0,Chief Executives
21-1021.00,"Child, Family, and School Social Workers",Community and Social Service,True,False,4,46270.0,36900,3.0,
39-9011.00,Childcare Workers,Personal Care and Service,True,False,2,23240.0,177900,8.0,
29-1011.00,Chiropractors,Healthcare Practitioners and Technical,True,False,5,71410.0,1800,3.0,
27-2032.00,Choreographers,"Arts, Design, Entertainment, Sports, and Media",False,False,4,47800.0,1200,0.4,
19-4061.01,City and Regional Planning Aides,"Life, Physical, and Social Science",True,False,4,46640.0,5300,-1.0,Social Science Research Assistants
17-3011.02,Civil Drafters,Architecture and Engineering,False,False,3,54920.0,10700,-1.0,Architectural and Civil Drafters
17-3022.00,Civil Engineering Technicians,Architecture and Engineering,False,False,3,52580.0,7700,75.0,
17-2051.00,Civil Engineers,Architecture and Engineering,False,True,4,86640.0,28300,1.9,
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations,False,False,-1,65900.0,25800,98.0,
13-1031.01,"Claims Examiners, Property and Casualty Insurance",Business and Financial Operations,False,False,4,65900.0,25800,-1.0,"Claims Adjusters, Examiners, and Investigators"
53-7061.00,Cleaners of Vehicles and Equipment,Transportation and Material Moving,False,False,2,24530.0,63700,37.0,
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Production,False,False,2,30790.0,2800,-1.0,
21-2011.00,Clergy,Community and Social Service,False,False,5,48990.0,27500,0.8,
19-2041.01,Climate Change Analysts,"Life, Physical, and Social Science",True,True,5,71130.0,10300,-1.0,"Environmental Scientists and Specialists, Including Health"
15-2041.02,Clinical Data Managers,Computer and Mathematical,True,False,4,87780.0,5300,-1.0,Statisticians
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners and Technical,True,False,5,71730.0,210400,-1.0,Registered Nurses
19-3031.02,Clinical Psychologists,"Life, Physical, and Social Science",True,False,5,76990.0,14600,-1.0,"Clinical, Counseling, and School Psychologists"
11-9121.01,Clinical Research Coordinators,Management,False,False,4,123860.0,6100,-1.0,Natural Sciences Managers
19-3031.00,"Clinical, Counseling, and School Psychologists","Life, Physical, and Social Science",True,False,-1,76990.0,14600,0.5,
27-2022.00,Coaches and Scouts,"Arts, Design, Entertainment, Sports, and Media",True,False,4,33780.0,47600,1.3,
51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Production,False,False,2,34800.0,10000,-1.0,
51-2021.00,"Coil Winders, Tapers, and Finishers",Production,False,False,2,34400.0,1000,73.0,
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair",False,False,2,34560.0,4300,94.0,
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",Food Preparation and Serving Related,True,False,1,21250.0,780600,92.0,
27-1021.00,Commercial and Industrial Designers,"Arts, Design, Entertainment, Sports, and Media",False,True,4,66590.0,4600,4.0,
49-9092.00,Commercial Divers,"Installation, Maintenance, and Repair",True,False,3,49140.0,500,18.0,
53-2012.00,Commercial Pilots,Transportation and Material Moving,True,False,3,82240.0,4600,55.0,
43-2099.00,"Communications Equipment Operators, All Other",Office and Administrative Support,True,False,-1,41050.0,300,-1.0,
25-1122.00,"Communications Teachers, Postsecondary","Education, Training, and Library",False,False,5,68910.0,3200,-1.0,
21-1099.00,"Community and Social Service Specialists, All Other",Community and Social Service,True,False,-1,42620.0,13300,-1.0,
21-1094.00,Community Health Workers,Community and Social Service,True,False,4,39540.0,8200,-1.0,
11-3111.00,Compensation and Benefits Managers,Management,False,False,4,121010.0,1400,96.0,
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations,False,False,4,63000.0,9200,47.0,
11-9199.02,Compliance Managers,Management,False,True,4,107480.0,91300,-1.0,"Managers, All Other"
13-1041.00,Compliance Officers,Business and Financial Operations,False,False,-1,68860.0,30700,8.0,
15-1111.00,Computer and Information Research Scientists,Computer and Mathematical,True,False,5,118370.0,3200,1.5,
11-3021.00,Computer and Information Systems Managers,Management,True,False,4,142530.0,38800,4.0,
17-2061.00,Computer Hardware Engineers,Architecture and Engineering,False,False,4,114600.0,5200,22.0,
15-1143.00,Computer Network Architects,Computer and Mathematical,False,False,4,109020.0,12200,21.0,
15-1152.00,Computer Network Support Specialists,Computer and Mathematical,False,False,4,62770.0,17400,-1.0,
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Production,True,False,3,53190.0,3200,-1.0,
15-1199.00,"Computer Occupations, All Other",Computer and Mathematical,True,False,-1,90270.0,35700,22.0,
43-9011.00,Computer Operators,Office and Administrative Support,False,False,3,45840.0,3100,78.0,
15-1131.00,Computer Programmers,Computer and Mathematical,False,False,4,84280.0,15100,48.0,
25-1021.00,"Computer Science Teachers, Postsecondary","Education, Training, and Library",False,False,5,82220.0,3600,-1.0,
15-1121.00,Computer Systems Analysts,Computer and Mathematical,True,False,4,88740.0,53400,0.7,
15-1199.02,Computer Systems Engineers/Architects,Computer and Mathematical,True,False,4,90270.0,35700,-1.0,"Computer Occupations, All Other"
15-1151.00,Computer User Support Specialists,Computer and Mathematical,True,False,3,50980.0,65100,-1.0,
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair",False,False,3,38480.0,11900,74.0,
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Production,False,True,3,40070.0,13600,86.0,
39-6012.00,Concierges,Personal Care and Service,False,False,3,30400.0,5800,21.0,
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science",False,False,-1,61310.0,2600,1.6,
47-4011.00,Construction and Building Inspectors,Construction and Extraction,True,True,3,59700.0,15800,63.0,
47-4099.00,"Construction and Related Workers, All Other",Construction and Extraction,True,False,-1,38860.0,4900,71.0,Miscellaneous Construction and Related Workers
47-2031.01,Construction Carpenters,Construction and Extraction,True,True,2,46590.0,116300,-1.0,Carpenters
47-2061.00,Construction Laborers,Construction and Extraction,True,True,2,35800.0,179300,88.0,
11-9021.00,Construction Managers,Management,True,True,4,93370.0,40200,7.0,
47-5041.00,Continuous Mining Machine Operators,Construction and Extraction,False,True,2,54520.0,1900,54.0,
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Installation, Maintenance, and Repair",False,False,3,56070.0,4600,63.0,
53-7011.00,Conveyor Operators and Tenders,Transportation and Material Moving,False,False,1,32980.0,2700,93.0,
35-2019.00,"Cooks, All Other",Food Preparation and Serving Related,False,False,-1,28650.0,3500,-1.0,
35-2011.00,"Cooks, Fast Food",Food Preparation and Serving Related,False,False,1,22330.0,63000,81.0,
35-2012.00,"Cooks, Institution and Cafeteria",Food Preparation and Serving Related,False,False,2,26860.0,62500,83.0,
35-2013.00,"Cooks, Private Household",Food Preparation and Serving Related,False,False,3,37590.0,5700,30.0,
35-2014.00,"Cooks, Restaurant",Food Preparation and Serving Related,True,False,2,26530.0,243800,96.0,
35-2015.00,"Cooks, Short Order",Food Preparation and Serving Related,False,False,2,23800.0,22200,94.0,
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,Production,False,False,2,32410.0,1100,93.0,
27-3043.04,Copy Writers,"Arts, Design, Entertainment, Sports, and Media",False,False,4,62170.0,12800,-1.0,Writers and Authors
13-1041.06,Coroners,Business and Financial Operations,False,False,3,68860.0,30700,-1.0,Compliance Officers
33-3012.00,Correctional Officers and Jailers,Protective Service,False,False,2,44330.0,33800,60.0,
43-4021.00,Correspondence Clerks,Office and Administrative Support,False,False,2,37290.0,700,86.0,
13-1051.00,Cost Estimators,Business and Financial Operations,True,False,4,64040.0,24200,57.0,
39-3092.00,Costume Attendants,Personal Care and Service,False,False,2,41190.0,1600,61.0,
19-3031.03,Counseling Psychologists,"Life, Physical, and Social Science",True,False,5,76990.0,14600,-1.0,"Clinical, Counseling, and School Psychologists"
21-1019.00,"Counselors, All Other",Community and Social Service,True,False,-1,42130.0,3500,-1.0,
41-2021.00,Counter and Rental Clerks,Sales and Related,False,False,2,27290.0,58700,97.0,
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Food Preparation and Serving Related,True,False,1,22330.0,107600,96.0,
43-5021.00,Couriers and Messengers,Office and Administrative Support,False,False,2,28720.0,10100,94.0,
43-4031.01,Court Clerks,Office and Administrative Support,False,False,2,38450.0,14900,-1.0,"Court, Municipal, and License Clerks"
23-2091.00,Court Reporters,Legal,True,False,3,57150.0,1600,50.0,
43-4031.00,"Court, Municipal, and License Clerks",Office and Administrative Support,False,False,-1,38450.0,14900,46.0,
27-1012.00,Craft Artists,"Arts, Design, Entertainment, Sports, and Media",False,False,3,34240.0,1100,4.0,
53-7021.00,Crane and Tower Operators,Transportation and Material Moving,False,False,3,54140.0,5800,90.0,
13-2041.00,Credit Analysts,Business and Financial Operations,False,False,4,71520.0,7400,98.0,
43-4041.01,Credit Authorizers,Office and Administrative Support,False,False,3,38750.0,2800,-1.0,"Credit Authorizers, Checkers, and Clerks"
43-4041.00,"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support,False,False,-1,38750.0,2800,97.0,
43-4041.02,Credit Checkers,Office and Administrative Support,False,False,2,38750.0,2800,-1.0,"Credit Authorizers, Checkers, and Clerks"
13-2071.00,Credit Counselors,Business and Financial Operations,True,False,4,45180.0,3800,4.0,
33-3021.03,Criminal Investigators and Special Agents,Protective Service,False,False,3,81920.0,7500,-1.0,Detectives and Criminal Investigators
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Education, Training, and Library",True,False,5,61900.0,1700,-1.0,
29-1141.03,Critical Care Nurses,Healthcare Practitioners and Technical,True,False,3,71730.0,210400,-1.0,Registered Nurses
33-9091.00,Crossing Guards,Protective Service,False,False,2,28960.0,14200,49.0,
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Production,False,False,2,36400.0,3500,-1.0,
25-4012.00,Curators,"Education, Training, and Library",True,False,5,53780.0,1700,0.7,
43-4051.00,Customer Service Representatives,Office and Administrative Support,True,True,2,33750.0,387600,55.0,
13-1199.03,Customs Brokers,Business and Financial Operations,True,False,3,70530.0,119600,-1.0,"Business Operations Specialists, All Other"
51-9031.00,"Cutters and Trimmers, Hand",Production,False,False,1,29390.0,800,64.0,
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Production,False,False,2,34620.0,7300,86.0,
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production,False,True,2,34460.0,18600,78.0,
29-2011.01,Cytogenetic Technologists,Healthcare Practitioners and Technical,True,False,4,52330.0,25500,-1.0,Clinical Laboratory Technologists and Technicians
29-2011.02,Cytotechnologists,Healthcare Practitioners and Technical,True,False,5,52330.0,25500,-1.0,Clinical Laboratory Technologists and Technicians
27-2031.00,Dancers,"Arts, Design, Entertainment, Sports, and Media",False,False,3,16.31,2400,13.0,
43-9021.00,Data Entry Keyers,Office and Administrative Support,False,False,2,32170.0,14800,99.0,
15-1199.07,Data Warehousing Specialists,Computer and Mathematical,True,False,4,90270.0,35700,-1.0,"Computer Occupations, All Other"
15-1141.00,Database Administrators,Computer and Mathematical,True,False,4,90070.0,9700,3.0,
15-1199.06,Database Architects,Computer and Mathematical,True,False,4,90270.0,35700,-1.0,"Computer Occupations, All Other"
41-9011.00,Demonstrators and Product Promoters,Sales and Related,False,False,2,28960.0,15800,51.0,
31-9091.00,Dental Assistants,Healthcare Support,True,False,3,38660.0,44800,51.0,
29-2021.00,Dental Hygienists,Healthcare Practitioners and Technical,True,False,3,74820.0,17900,68.0,
51-9081.00,Dental Laboratory Technicians,Production,True,False,2,40440.0,5100,97.0,
29-1029.00,"Dentists, All Other Specialists",Healthcare Practitioners and Technical,False,False,-1,146970.0,200,-1.0,
29-1021.00,"Dentists, General",Healthcare Practitioners and Technical,True,False,5,151850.0,5300,0.4,
29-1069.02,Dermatologists,Healthcare Practitioners and Technical,True,False,5,200890.0,16500,-1.0,"Physicians and Surgeons, All Other"
